capture_id,raw_filename,capture_date,timezone,client_version,mode,pioneer,action,visible_result,privacy_review,consent,page_destination,published_filename,notes
L-01,,,,,,,,,pending,not_applicable,/guides/launcher-troubleshooting.html,,
L-02,,,,,,,,,pending,not_applicable,/guides/launcher-troubleshooting.html,,natural_error_only
B-01,,,,,,,,,pending,not_applicable,/guides/getting-started.html,,
B-02,,,,,,,,,pending,not_applicable,/guides/getting-started.html,,
B-03,,,,,,,,,pending,not_applicable,/guides/getting-started.html,,
B-04,,,,,,,,,pending,not_applicable,/guides/getting-started.html,,before_after_required
B-05,,,,,,,,,pending,not_applicable,/guides/getting-started.html,,redact_balances
B-06,,,,,,,,,pending,not_applicable,/guides/getting-started.html,,
E-01,,,,,,,,,pending,not_applicable,/guides/how-to-extract.html,,
E-02,,,,,,,,,pending,not_applicable,/guides/how-to-extract.html,,
E-03,,,,,,,,,pending,not_applicable,/guides/how-to-extract.html,,natural_observation_only
E-04,,,,,,,,,pending,not_applicable,/guides/how-to-extract.html,,redact_account_and_balance
G-01,,,,,,,,,pending,not_applicable,/systems/tools-and-equipment.html,,
G-02,,,,,,,,,pending,not_applicable,/systems/tools-and-equipment.html,,same_build_control
G-03,,,,,,,,,pending,not_applicable,/systems/tools-and-equipment.html,,
G-04,,,,,,,,,pending,not_applicable,/systems/traits-and-loadouts.html,,
Q-01,,,,,,,,,pending,not_applicable,/quests/,,
Q-02,,,,,,,,,pending,not_applicable,/quests/,,
P-01,,,,,,,,,pending,required,/money/payout-methods.html,,no_editorial_purchase
P-02,,,,,,,,,pending,required,/money/payout-methods.html,,request_is_not_receipt
P-03,,,,,,,,,pending,required,/money/payout-methods.html,,redact_processor_identifiers
P-04,,,,,,,,,pending,required,/money/payout-methods.html,,optional_receipt_only
